Date,Open,High,Low,Close,Volume
04/22/2024,"24.28","25.04","24.07","24.93","117,960"
04/19/2024,"23.49","24.29","23.49","24.00","89,946"
04/18/2024,"23.35","23.69","23.20","23.57","87,293"
04/17/2024,"23.85","23.99","23.31","23.32","65,290"
04/16/2024,"23.97","23.97","23.63","23.74","61,361"
04/15/2024,"24.44","24.90","23.98","24.07","73,650"
04/12/2024,"24.51","24.66","24.19","24.24","49,089"
04/11/2024,"24.40","24.71","24.25","24.69","80,855"
04/10/2024,"24.68","24.73","23.90","24.19","96,568"
04/09/2024,"25.50","25.57","25.11","25.26","62,897"
04/08/2024,"25.20","25.66","25.04","25.50","70,531"
04/05/2024,"24.85","25.15","24.66","24.99","64,548"
04/04/2024,"25.98","26.05","24.92","24.99","92,762"
04/03/2024,"25.44","25.90","25.42","25.76","58,981"
04/02/2024,"26.25","26.46","25.55","25.58","80,347"
04/01/2024,"27.04","27.04","26.36","26.52","94,983"
03/28/2024,"27.02","27.29","26.88","27.04","77,171"
03/27/2024,"26.56","27.26","26.56","27.01","98,295"
03/26/2024,"26.89","27.11","26.49","26.56","94,685"
03/25/2024,"26.33","26.69","26.32","26.59","92,794"
03/22/2024,"26.62","26.62","26.14","26.35","100,814"
03/21/2024,"26.90","27.06","26.71","26.80","130,806"
03/20/2024,"25.98","26.59","25.78","26.58","163,653"
03/19/2024,"25.45","26.01","25.45","25.98","72,883"
03/18/2024,"25.52","25.57","25.15","25.45","67,657"
03/15/2024,"25.13","25.83","25.13","25.58","185,463"
03/14/2024,"25.90","26.19","24.86","25.37","89,607"
03/13/2024,"26.06","26.50","25.87","26.14","101,462"
03/12/2024,"26.56","26.56","26.01","26.35","93,037"
03/11/2024,"25.67","26.11","25.58","25.98","56,437"
03/08/2024,"25.80","26.35","25.58","25.90","108,009"
03/07/2024,"25.41","25.70","25.12","25.66","104,546"
03/06/2024,"24.60","25.44","24.60","25.29","79,975"
03/05/2024,"24.55","24.83","24.29","24.50","72,745"
03/04/2024,"24.55","25.20","24.49","24.81","70,448"
03/01/2024,"24.75","24.77","24.10","24.41","102,500"
02/29/2024,"25.07","25.23","24.75","24.82","80,404"
02/28/2024,"25.00","25.36","24.62","24.64","92,215"
02/27/2024,"25.42","25.71","25.05","25.08","82,125"
02/26/2024,"26.32","26.45","25.07","25.26","118,998"
02/23/2024,"25.57","26.81","25.57","26.40","167,589"
02/22/2024,"25.65","27.47","24.90","25.58","183,962"
02/21/2024,"25.15","25.42","24.82","25.08","75,874"
02/20/2024,"25.19","25.63","24.84","25.18","72,142"
02/16/2024,"25.10","25.69","25.03","25.66","68,888"
02/15/2024,"25.08","25.59","24.83","25.40","93,771"
02/14/2024,"24.84","25.05","24.53","24.86","67,079"
02/13/2024,"24.43","24.73","24.28","24.32","104,304"
02/12/2024,"24.55","25.50","24.55","25.30","73,407"
02/09/2024,"23.62","24.58","23.62","24.35","85,027"
02/08/2024,"23.12","23.66","22.96","23.53","81,200"
02/07/2024,"23.84","23.84","23.00","23.12","59,301"
02/06/2024,"23.98","24.28","23.73","23.82","98,244"
02/05/2024,"24.66","24.66","24.07","24.09","62,619"
02/02/2024,"24.72","24.91","24.50","24.80","72,166"
02/01/2024,"24.74","25.34","24.51","25.22","73,689"
01/31/2024,"25.17","25.46","24.48","24.71","101,869"
01/30/2024,"25.17","25.48","24.99","25.22","60,545"
01/29/2024,"25.30","25.48","24.80","25.38","124,793"
01/26/2024,"25.33","25.64","25.11","25.31","156,362"
01/25/2024,"24.69","25.25","24.52","25.17","99,352"
01/24/2024,"24.77","24.91","24.09","24.22","65,554"
01/23/2024,"24.87","25.00","24.17","24.70","96,808"
