"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"02-APR-2024","ABFRL","Aditya Birla Fas & Rt Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","49,26,485","238.10","-"
"02-APR-2024","ABFRL","Aditya Birla Fas & Rt Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","50,09,685","238.43","-"
"02-APR-2024","AKSHAR","Akshar Spintex Limited","SHUBHAM ASHOKBHAI PATEL","SELL","16,91,538","2.45","-"
"02-APR-2024","ASTRON","Astron Paper Bord Mil Ltd","SUDHIR S MEHTA HUF","SELL","2,69,250","21.10","-"
"02-APR-2024","ATALREAL","Atal Realtech Limited","BHAVIN SHAILESH KAMANI","SELL","4,17,729","14.01","-"
"02-APR-2024","BPL","BPL Ltd.","GRAVITON RESEARCH CAPITAL LLP","BUY","2,65,129","101.95","-"
"02-APR-2024","BPL","BPL Ltd.","GRAVITON RESEARCH CAPITAL LLP","SELL","2,65,129","102.01","-"
"02-APR-2024","DIL","Debock Industries Limited","RAJ RATAN COMMODITIES PRIVATE LIMITED","BUY","6,80,354","8.40","-"
"02-APR-2024","DIL","Debock Industries Limited","RAJ RATAN COMMODITIES PRIVATE LIMITED","SELL","6,80,354","8.43","-"
"02-APR-2024","GICL","Globe Intl Carriers Ltd","CORE4 MARCOM PRIVATE LIMITED","BUY","1,86,000","51.90","-"
"02-APR-2024","GOACARBON","Goa Carbon Ltd","GRAVITON RESEARCH CAPITAL LLP","BUY","46,869","830.72","-"
"02-APR-2024","GOACARBON","Goa Carbon Ltd","GRAVITON RESEARCH CAPITAL LLP","SELL","46,869","830.57","-"
"02-APR-2024","GOKEX","Gokaldas Exports Limited","GOVERNMENT PENSION FUND GLOBAL","SELL","3,47,198","777.05","-"
"02-APR-2024","HCC-RE","Hindustan Construction Co","PASHUPATI CAPITA SER PVT LTD","BUY","9,55,000","11.65","-"
"02-APR-2024","HEADSUP","Heads UP Ventures Limited","MITTAL PUNEET","BUY","2,30,892","16.27","-"
